timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1583796109215,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109220,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109220,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109226,3,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796109226,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109230,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,1
1583796109230,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109235,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109235,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109240,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,0
1583796109240,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,0
1583796109245,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109245,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109251,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109250,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109256,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109256,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,0
1583796109261,51,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,51,0,0
1583796109261,51,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,51,0,0
